temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
4,0.00775,0.775,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
5,0.0109,1.09,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
6,0.0143,1.43,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
7,0.0182,1.82,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
8,0.0221,2.21,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
9,0.0263,2.63,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
10,0.0309,3.09,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
11,0.0358929,3.58929,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
12,0.0411,4.11,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
13,0.0464918,4.64918,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
14,0.0519694,5.19694,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
15,0.0571,5.71,digitized_trace_anchor,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
16,0.0617989,6.17989,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
17,0.0662602,6.62602,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
18,0.0704906,7.04906,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
19,0.0744999,7.44999,PCHIP_logT_logk,B.-constantan trace,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
