temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,source_series,marker_shape,original_image_x_px,original_image_y_px,temperature_readout_uncertainty_pct_approx,conductivity_readout_uncertainty_pct_approx,source_figure
4.04,0.00792,0.792,B.-constantan,filled; shape obscured,97,641,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
4.25,0.00838,0.838,B.-constantan,filled; shape obscured,109,633,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
4.46,0.00925,0.925,B.-constantan,filled; shape obscured,120,619,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
25.4,0.0958,9.58,P.Z.J.-constantan,filled diamond,523,288,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
35,0.124,12.4,P.Z.J.-constantan,filled diamond,598,251,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
50.4,0.151,15.1,P.Z.J.-constantan,filled diamond,683,223,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
62.6,0.164,16.4,P.Z.J.-constantan,filled diamond,733,211,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
86.3,0.171,17.1,P.Z.J.-constantan,filled diamond,809,205,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
100,0.174,17.4,E.D.-constantan,filled circle,843,202,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
114.9,0.175,17.5,E.D.-constantan,filled circle,876,201,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
129.8,0.177,17.7,E.D.-constantan,filled circle,905,200,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
146.6,0.18,18,E.D.-constantan,filled circle,934,197,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
161.4,0.185,18.5,E.D.-constantan,filled circle,957,193,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
177.8,0.189,18.9,E.D.-constantan,filled circle,980,190,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
206.3,0.193,19.3,E.D.-constantan,filled circle,1015,187,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
219.6,0.197,19.7,E.D.-constantan,filled circle,1029,184,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
239,0.206,20.6,E.D.-constantan,filled circle,1048,178,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
269.6,0.216,21.6,E.D.-constantan,filled circle,1075,171,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
288.2,0.225,22.5,E.D.-constantan,filled circle,1090,165,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
297.3,0.23,23,E.D.-constantan,filled circle,1097,162,0.9,1.4,"NIST Monograph 131, Figure 43f, printed page 296"
