temperature_K,thermal_conductivity_W_per_mK
4,0.775
5,1.09
6,1.43
7,1.82
8,2.21
9,2.63
10,3.09
11,3.58929
12,4.11
13,4.64918
14,5.19694
15,5.71
16,6.17989
17,6.62602
18,7.04906
19,7.44999
20,7.83
21,8.17903
22,8.49846
23,8.80531
24,9.11468
25,9.44
26,9.76946
27,10.0628
28,10.3405
29,10.6157
30,10.9
31,11.2031
32,11.5177
33,11.8302
34,12.1281
35,12.4
36,12.6471
37,12.879
38,13.0974
39,13.3039
40,13.5
41,13.7024
42,13.9196
43,14.1411
44,14.3574
45,14.5596
46,14.7395
47,14.8896
48,15.0034
49,15.0752
50,15.1
51,15.1082
52,15.1541
53,15.2326
54,15.3356
55,15.4559
56,15.5868
57,15.7222
58,15.8563
59,15.9839
60,16.1
61,16.2248
62,16.3476
63,16.4254
64,16.48
65,16.5245
66,16.562
67,16.5957
68,16.6283
69,16.6623
70,16.7
71,16.7445
72,16.7952
73,16.849
74,16.9031
75,16.955
76,17.0021
77,17.0422
78,17.0731
79,17.093
80,17.1
81,17.1
82,17.1
83,17.1
84,17.1
85,17.1
86,17.1
87,17.1021
88,17.1119
89,17.1283
90,17.1498
91,17.1753
92,17.2034
93,17.2331
94,17.2632
95,17.2928
96,17.3208
97,17.3463
98,17.3686
99,17.3867
100,17.4
101,17.4099
102,17.4185
103,17.4261
104,17.4328
105,17.4389
106,17.4445
107,17.4499
108,17.4551
109,17.4604
110,17.4659
111,17.4717
112,17.478
113,17.4849
114,17.4925
115,17.5009
116,17.5103
117,17.5207
118,17.5319
119,17.5439
120,17.5566
121,17.5698
122,17.5836
123,17.5978
124,17.6124
125,17.6272
126,17.6422
127,17.6574
128,17.6726
129,17.6878
130,17.703
131,17.7182
132,17.7334
133,17.7487
134,17.7642
135,17.78
136,17.796
137,17.8125
138,17.8293
139,17.8467
140,17.8646
141,17.8831
142,17.9023
143,17.9221
144,17.9427
145,17.9641
146,17.9863
147,18.0096
148,18.0359
149,18.0654
150,18.0975
151,18.1316
152,18.1673
153,18.2042
154,18.2418
155,18.2795
156,18.3171
157,18.3541
158,18.3902
159,18.4248
160,18.4576
161,18.4884
162,18.5171
163,18.5453
164,18.5731
165,18.6006
166,18.6276
167,18.6542
168,18.6802
169,18.7057
170,18.7305
171,18.7547
172,18.7783
173,18.8012
174,18.8233
175,18.8446
176,18.8651
177,18.8849
178,18.9037
179,18.9215
180,18.9382
181,18.954
182,18.969
183,18.9832
184,18.9967
185,19.0098
186,19.0223
187,19.0345
188,19.0463
189,19.058
190,19.0695
191,19.081
192,19.0925
193,19.1041
194,19.1159
195,19.1279
196,19.1403
197,19.153
198,19.1661
199,19.1798
200,19.194
201,19.2088
202,19.2243
203,19.2405
204,19.2576
205,19.2754
206,19.2942
207,19.3142
208,19.3364
209,19.3607
210,19.3868
211,19.4146
212,19.4439
213,19.4746
214,19.5065
215,19.5394
216,19.5733
217,19.6078
218,19.6429
219,19.6785
220,19.7146
221,19.7531
222,19.7942
223,19.8376
224,19.883
225,19.93
226,19.9783
227,20.0277
228,20.0779
229,20.1285
230,20.1794
231,20.2301
232,20.2804
233,20.3301
234,20.3789
235,20.4265
236,20.4726
237,20.5171
238,20.5596
239,20.6
240,20.6385
241,20.6757
242,20.7118
243,20.7467
244,20.7807
245,20.8138
246,20.8461
247,20.8778
248,20.9088
249,20.9394
250,20.9695
251,20.9993
252,21.029
253,21.0584
254,21.0879
255,21.1173
256,21.1469
257,21.1767
258,21.2067
259,21.2371
260,21.2679
261,21.2992
262,21.3311
263,21.3637
264,21.397
265,21.4311
266,21.466
267,21.5019
268,21.5388
269,21.5767
270,21.6158
271,21.6564
272,21.6986
273,21.7421
274,21.7869
275,21.8329
276,21.88
277,21.928
278,21.9768
279,22.0264
280,22.0766
281,22.1274
282,22.1786
283,22.2302
284,22.282
285,22.3339
286,22.3859
287,22.4378
288,22.4897
289,22.5426
290,22.5987
291,22.6569
292,22.7161
293,22.7751
294,22.8327
295,22.888
296,22.9398
297,22.9869
298,23.0287
299,23.0659
300,23.1
